  ID,Priority,Item,Dependencies,Initial Effort Size,Sprint 0,Sprint 1,Sprint 2,Sprint 3,Sprint 4
  PB-01,1,"As devs, we need to setup the development process","",2,DONE,-,-,-,-
  PB-02,2,"As devs, we need to draft the Requirement Specification to enhance our domain awareness.","",5,DONE,-,-,-,-
  PB-03,3,"As devs, we need to draft an initial Architectural Design Diagram","",5,DONE,-,-,-,-
  PB-04,4,"As a warehouse manager, I want to model a one-room warehouse with no obstacles or loading zones","",8,8,DONE,-,-,-
  PB-05,5,"As a warehouse manager, I want to add a simple robot to a scenario","",3,3,DONE,-,-,-
  PB-06,6,"As a warehouse manager, I want to add a movement mission to a scenario","",3,3,DONE,-,-,-
  PB-07,7,"As a warehouse manager, I want to configure a routing policy that minimizes hop count","",5,5,DONE,-,-,-
  PB-08,8,"As a warehouse manager, I want to assign missions to the nearest robot","",5,5,DONE,-,-,-
  PB-09,9,"As a warehouse manager, I want to run a simulation of a scenario","",13,13,1,1,-,-
  PB-10,10,"As a warehouse manager, I want to add multiple movement missions to a scenario",PB-06,5,5,DONE,-,-,-
  PB-11,11,"As a warehouse manager, I want to model obstacles and tile traversal costs",PB-04,8,8,8,DONE,-,-
  PB-12,12,"As a warehouse manager, I want to add multiple robots to a scenario",PB-05,5,5,DONE,-,-,-
  PB-13,13,"As a warehouse manager, I want to configure a routing policy that minimizes travel time",PB-11,5,5,5,DONE,-,-
  PB-14,14,"As a warehouse manager, I want to configure cyclically mission assigment policy","",3,3,3,DONE,-,-
  PB-15,15,"As a warehouse manager, I want to configure collision avoidance based on random waiting",PB-12,8,8,8,DONE,-,-
  PB-16,16,"As a warehouse manager, I want to model shelves, loading zones, and the items stored in them",PB-04,8,8,8,8,DONE,-
  PB-17,17,"As a warehouse manager, I want to equip robots with a bag to pick up and drop items",PB-16,8,8,8,13,DONE,-
  PB-27,18,"As a warehouse manager, I want to generate statistics so I can evaluate a scenario",PB-09,5,5,5,5,DONE,-
  PB-28,19,"As a warehouse manager, I want to save and load warehouses, scenarios, and statistics as JSON files in ~/.sentinel","PB-16, PB-17, PB-27",8,8,8,8,DONE,-
  PB-24,20,"As a warehouse manager, I want to create and edit warehouse layouts through a graphical view","PB-16, PB-28",8,8,8,8,8,
  PB-25,21,"As a warehouse manager, I want to configure and run scenarios through a graphical view","PB-24, PB-28",8,8,8,8,8,
  PB-26,22,"As a warehouse manager, I want to pause a simulation, browse its timeline, and resume it",PB-09,5,5,5,5,DONE,-
  PB-18,23,"As a warehouse manager, I want to configure collision avoidance based on higher-priority missions",PB-15,5,5,5,5,DONE,-
  PB-20,24,"As a warehouse manager, I want to configure lowest workload mission assigments policy","",5,5,5,5,5,
  PB-22,25,"As a warehouse manager, I want to configure collision avoidance based on least remaining mission time",PB-15,3,3,3,3,DONE,-
  PB-23,26,"As a warehouse manager, I want to configure collision avoidance based on rerouting",PB-12,8,8,8,8,8,
  PB-29,27,"As a warehouse manager, I want to configure a routing policy that penalizes routes that involve entering areas with few exit routes","",2,2,2,2,2,
  PB-30,28,"As a warehouse manager, I want to configure random mission assigment policy","",2,2,2,2,2,
